Number,Date,P/E,P/B,Div Yield,Bank
1,1/3/2000,11.4,1.27,2.31,1000
2,1/4/2000,11.8,1.32,2.23,1054.81
3,1/5/2000,11.41,1.27,2.31,1092.08
4,1/6/2000,11.74,1.31,2.24,1055.99
5,1/7/2000,12.18,1.36,2.16,1086.67
6,1/10/2000,11.77,1.31,2.24,1126.99
7,1/11/2000,11.17,1.25,2.36,1088.97
8,1/12/2000,11.2,1.25,2.35,1033.55
9,1/13/2000,11.18,1.25,2.36,1036.63
10,1/14/2000,11.06,1.23,2.38,1034.19
11,1/17/2000,11.2,1.25,2.35,1023.41
12,1/18/2000,11.04,1.23,2.38,1035.99
13,1/19/2000,11.43,1.28,2.3,1021.69
14,1/20/2000,11.31,1.26,2.33,1057.89
15,1/21/2000,11.44,1.28,2.3,1046.31
16,1/24/2000,11.35,1.27,2.32,1058.91
17,1/25/2000,11.47,1.28,2.29,1049.82
18,1/27/2000,11.85,1.32,2.22,1061.6
19,1/28/2000,12.46,1.39,2.11,1096.45
20,1/31/2000,12.42,1.39,2.12,1153.35
21,2/1/2000,12.7,1.42,2.07,1148.89
22,2/2/2000,12.83,1.43,2.05,1175.15
23,2/3/2000,12.81,1.43,2.06,1186.97
24,2/4/2000,12.67,1.41,2.08,1185.11
25,2/7/2000,12.52,1.4,2.1,1172.21
26,2/8/2000,12.43,1.39,2.12,1158.08
27,2/9/2000,12.47,1.39,2.11,1150.2
28,2/10/2000,12.77,1.42,2.06,1154.25
29,2/11/2000,12.5,1.39,2.11,1181.48
30,2/14/2000,13.11,1.46,2.01,1156.67
31,2/15/2000,12.41,1.38,2.12,1212.66
32,2/16/2000,12.62,1.41,2.09,1148.1
33,2/17/2000,12.74,1.42,2.07,1167.64
34,2/18/2000,12.45,1.39,2.12,1178.51
35,2/21/2000,12.35,1.38,2.13,1151.56
36,2/22/2000,11.8,1.32,2.23,1142.8
37,2/23/2000,11.81,1.32,2.23,1091.48
38,2/24/2000,11.93,1.33,2.21,1092.85
39,2/25/2000,11.99,1.34,2.2,1103.9
40,2/28/2000,12.33,1.38,2.13,1109.38
41,2/29/2000,11.62,1.3,2.27,1141.18
42,3/1/2000,12.57,1.4,2.1,1075.15
43,3/2/2000,12.58,1.4,2.09,1139.88
44,3/3/2000,12.4,1.38,2.12,1141.08
45,3/6/2000,12.42,1.39,2.12,1124.7
46,3/7/2000,12.17,1.36,2.16,1126.59
47,3/8/2000,11.66,1.3,2.26,1104.42
48,3/9/2000,11.07,1.24,2.38,1057.46
49,3/10/2000,10.89,1.22,2.42,1004.31
50,3/13/2000,10.79,1.2,2.44,987.88
51,3/14/2000,10.98,1.23,2.4,978.64
52,3/15/2000,11.33,1.26,2.32,996.36
53,3/16/2000,11.63,1.3,2.26,1027.62
54,3/21/2000,11.85,1.32,2.22,1055.36
55,3/22/2000,12,1.34,2.19,1074.75
56,3/23/2000,11.97,1.34,2.2,1088.21
57,3/24/2000,11.98,1.34,2.2,1086.02
58,3/27/2000,11.81,1.32,2.23,1086.32
59,3/28/2000,11.81,1.32,2.23,1071.09
60,3/29/2000,11.8,1.32,2.23,1071.17
61,3/30/2000,12.14,1.35,2.17,1070.13
62,3/31/2000,7.12,1.11,2.69,1101.06
63,4/3/2000,7.14,1.12,2.69,1106.83
64,4/4/2000,6.61,1.03,2.9,1110.14
65,4/5/2000,6.44,1.01,2.98,1026.65
66,4/6/2000,6.37,1,3.01,1000.84
67,4/7/2000,6.75,1.06,2.84,989.2
68,4/10/2000,7,1.1,2.74,1048.75
69,4/11/2000,7.11,1.11,2.7,1087.71
70,4/12/2000,7.06,1.1,2.72,1105.19
71,4/13/2000,6.8,1.06,2.82,1097.08
72,4/17/2000,6.46,1.01,2.97,1056.89
