,Date,Price/Earnings,Price/Bookvalue,Dividend Yield,Sensex,Shares Traded(Cr),Turnover (Rs Cr),Price/Earnings,Price/Bookvalue,Dividend Yield,50d TPE,50-d std,,,1/Div yield
1,1/2/1991,16.93,2.57,1.61,999.26,-,-,16.93,2.57,1.61,,,,,0.621118012
2,1/3/1991,16.65,2.53,1.64,982.35,-,-,16.65,2.53,1.64,,,,,0.609756098
3,1/7/1991,17,2.58,1.61,1010.77,-,-,17,2.58,1.61,,,,,0.621118012
4,1/9/1991,16.96,2.58,1.61,1008.52,-,-,16.96,2.58,1.61,,,,,0.621118012
5,1/11/1991,17.4,2.64,1.57,1034.3,-,-,17.4,2.64,1.57,,,,,0.636942675
6,1/14/1991,17.12,2.6,1.6,1017.72,-,-,17.12,2.6,1.6,,,,,0.625
7,1/23/1991,16.84,2.56,1.62,1001.38,-,-,16.84,2.56,1.62,,,,,0.617283951
8,1/24/1991,16.34,2.48,1.67,971.8,-,-,16.34,2.48,1.67,,,,,0.598802395
9,1/25/1991,16.09,2.44,1.7,956.11,-,-,16.09,2.44,1.7,,,,,0.588235294
10,1/31/1991,16.53,2.51,1.65,982.32,-,-,16.53,2.51,1.65,,,,,0.606060606
11,2/1/1991,17.2,2.61,1.59,1021.95,-,-,17.2,2.61,1.59,,,,,0.628930818
12,2/4/1991,17.71,2.69,1.54,1052.04,-,-,17.71,2.69,1.54,,,,,0.649350649
13,2/5/1991,18.01,2.73,1.52,1070.29,-,-,18.01,2.73,1.52,,,,,0.657894737
14,2/6/1991,17.87,2.71,1.53,1061.87,-,-,17.87,2.71,1.53,,,,,0.653594771
15,2/7/1991,17.48,2.65,1.56,1039.45,-,-,17.48,2.65,1.56,,,,,0.641025641
16,2/8/1991,17.34,2.63,1.58,1030.23,-,-,17.34,2.63,1.58,,,,,0.632911392
17,2/11/1991,17.05,2.59,1.6,1013.5,-,-,17.05,2.59,1.6,,,,,0.625
18,2/13/1991,16.91,2.57,1.62,1004.94,-,-,16.91,2.57,1.62,,,,,0.617283951
19,2/14/1991,17.24,2.62,1.59,1024.23,-,-,17.24,2.62,1.59,,,,,0.628930818
20,2/15/1991,17.5,2.66,1.56,1039.6,-,-,17.5,2.66,1.56,,,,,0.641025641
21,2/19/1991,19.37,2.94,1.41,1149.89,-,-,19.37,2.94,1.41,,,,,0.709219858
22,2/20/1991,18.95,2.93,1.42,1148.33,-,-,18.95,2.93,1.42,17.295,,,,0.704225352
23,2/21/1991,19.21,2.95,1.41,1153.29,-,-,19.21,2.95,1.41,17.39863636,,,,0.709219858
24,2/22/1991,19.64,3.01,1.38,1179.33,-,-,19.64,3.01,1.38,17.53454545,,,,0.724637681
25,2/25/1991,19.62,2.62,1.58,1177.87,-,-,19.62,2.62,1.58,17.65363636,,,,0.632911392
26,2/26/1991,20.08,3.08,1.35,1205.2,-,-,20.08,3.08,1.35,17.79545455,,,,0.740740741
27,2/27/1991,20.35,3.12,1.33,1221.55,-,-,20.35,3.12,1.33,17.92954545,,,,0.751879699
28,2/28/1991,20.33,3.12,1.33,1220.41,-,-,20.33,3.12,1.33,18.07545455,,,,0.751879699
29,3/4/1991,20.42,3.13,1.33,1225.44,-,-,20.42,3.13,1.33,18.23818182,,,,0.751879699
30,3/5/1991,20.76,3.18,1.3,1245.93,-,-,20.76,3.18,1.3,18.43909091,,,,0.769230769
31,3/7/1991,19.18,2.94,1.41,1151.05,-,-,19.18,2.94,1.41,18.57954545,,,,0.709219858
32,3/8/1991,19.85,3.04,1.36,1191.05,-,-,19.85,3.04,1.36,18.73045455,,,,0.735294118
33,3/11/1991,19.58,3,1.38,1174.72,-,-,19.58,3,1.38,18.83863636,,,,0.724637681
