,Date,P/E,P/B,Div Yield,Close
1,4/3/2006,17.16,3.26,1.15,1816.28
2,4/4/2006,17.49,3.32,1.13,1850.8
3,4/5/2006,17.67,3.36,1.12,1869.12
4,4/7/2006,17.21,3.27,1.15,1820.32
5,4/10/2006,17.12,3.25,1.15,1811.76
6,4/12/2006,16.69,3.17,1.18,1766.27
7,4/13/2006,16.32,3.1,1.21,1726.62
8,4/17/2006,16.56,3.17,1.19,1763.77
9,4/18/2006,16.79,3.21,1.17,1788.58
10,4/19/2006,16.77,3.21,1.17,1786.9
11,4/20/2006,16.79,3.21,1.17,1789.29
12,4/21/2006,16.72,3.2,1.17,1781.73
13,4/24/2006,15.75,3.16,1.19,1757.51
14,4/25/2006,15.51,3.11,1.21,1731.19
15,4/26/2006,15.78,3.16,1.19,1761.5
16,4/27/2006,15.63,3.13,1.2,1745.14
17,4/28/2006,15.5,3.13,1.2,1743.14
18,4/29/2006,15.91,3.21,1.17,1789.3
19,5/2/2006,16.12,3.31,1.14,1841.53
20,5/3/2006,16.51,3.39,1.11,1885.92
21,5/4/2006,16.62,3.41,1.1,1898.44
22,5/5/2006,16.42,3.37,1.12,1875.39
23,5/8/2006,16.51,3.39,1.11,1885.35
24,5/9/2006,16.65,3.41,1.1,1901.13
25,5/10/2006,17.02,3.49,1.08,1943.66
26,5/11/2006,16.92,3.47,1.08,1932.02
27,5/12/2006,16.6,3.4,1.1,1895.44
28,5/15/2006,16.07,3.3,1.14,1835.18
29,5/16/2006,15.98,3.28,1.15,1824.91
30,5/17/2006,16.52,3.39,1.11,1886.37
31,5/18/2006,15.54,3.17,1.18,1766.31
32,5/19/2006,15.11,3.04,1.24,1692.71
33,5/22/2006,14.68,2.95,1.27,1644
34,5/23/2006,15.01,3.02,1.24,1681.32
35,5/24/2006,14.76,2.97,1.26,1653.39
36,5/25/2006,14.62,2.94,1.28,1637.14
37,5/26/2006,14.87,2.99,1.26,1665.65
38,5/29/2006,15.01,3.02,1.24,1681.19
39,5/30/2006,14.79,2.98,1.26,1656.5
40,5/31/2006,14.31,2.88,1.3,1602.27
41,6/1/2006,14.1,2.84,1.32,1578.34
42,6/2/2006,14.59,2.84,1.33,1634.01
43,6/5/2006,14.33,2.79,1.35,1604.67
44,6/6/2006,14.26,2.78,1.36,1596.86
45,6/7/2006,13.8,2.69,1.4,1548.36
46,6/8/2006,12.91,2.52,1.5,1448.63
47,6/9/2006,13.43,2.62,1.44,1506.09
48,6/12/2006,12.83,2.5,1.51,1438.81
49,6/13/2006,12.24,2.39,1.58,1372.91
50,6/14/2006,11.99,2.16,1.66,1345.44
51,6/15/2006,12.78,2.3,1.56,1432.94
52,6/16/2006,13.14,2.37,1.52,1473.74
53,6/19/2006,13.14,2.37,1.52,1473.5
54,6/20/2006,12.8,2.31,1.56,1435.57
55,6/21/2006,12.9,2.32,1.55,1446.78
56,6/22/2006,13.54,2.44,1.47,1518.43
57,6/23/2006,13.44,2.42,1.48,1506.69
58,6/25/2006,13.4,2.42,1.49,1502.74
59,6/26/2006,12.95,2.33,1.54,1451.32
60,6/27/2006,13.07,2.35,1.53,1464.98
61,6/28/2006,12.82,2.31,1.56,1437.77
62,6/29/2006,12.79,2.31,1.56,1435.78
63,6/30/2006,13.24,2.39,1.5,1486.1
64,7/3/2006,13.27,2.39,1.5,1488.86
65,7/4/2006,13.44,2.42,1.48,1508.35
66,7/5/2006,13.69,2.47,1.46,1535.87
67,7/6/2006,13.52,2.44,1.47,1517.5
68,7/7/2006,13.25,2.39,1.5,1486.97
69,7/10/2006,13.31,2.4,1.5,1494.1
70,7/11/2006,13.22,2.38,1.51,1483.64
71,7/12/2006,13.25,2.39,1.5,1486.94
72,7/13/2006,13.12,2.26,1.6,1475.15
73,7/14/2006,12.91,2.23,1.62,1457.46
74,7/17/2006,12.46,2.15,1.67,1406.57
75,7/18/2006,12.26,2.12,1.7,1387.97
76,7/19/2006,12.02,2.09,1.72,1366.73
77,7/20/2006,12.51,2.18,1.65,1423.84
78,7/21/2006,12.28,2.14,1.69,1397.07
79,7/24/2006,12.62,2.21,1.63,1445.44
80,7/25/2006,13.09,2.3,1.57,1501.67
81,7/26/2006,13.25,2.32,1.55,1519.82
82,7/27/2006,13.87,2.09,1.61,1544.7
83,7/28/2006,14.08,2.12,1.58,1567.85
84,7/31/2006,14.2,2.14,1.57,1582.67
85,8/1/2006,14.14,2.13,1.57,1575.81
86,8/2/2006,14.26,2.15,1.56,1589.56
87,8/3/2006,14.46,2.18,1.54,1612.38
88,8/4/2006,14.29,2.15,1.56,1592.49
89,8/7/2006,14.44,2.18,1.54,1612.55
90,8/8/2006,14.84,2.24,1.5,1656.51
91,8/9/2006,14.99,2.26,1.48,1673.46
92,8/10/2006,15.17,2.29,1.46,1693.98
93,8/11/2006,15.05,2.27,1.48,1679.71
94,8/14/2006,15.12,2.28,1.47,1687.97
95,8/16/2006,15.39,2.32,1.44,1716.96
96,8/17/2006,15.34,2.32,1.45,1711.71
97,8/18/2006,15.27,2.31,1.45,1703.91
98,8/21/2006,15.48,2.34,1.43,1720.83
99,8/22/2006,15.57,2.35,1.43,1730.47
100,8/23/2006,15.36,2.32,1.45,1707.15
101,8/24/2006,15.44,2.33,1.44,1715.96
102,8/25/2006,15.64,2.36,1.42,1738.14
103,8/28/2006,15.69,2.37,1.42,1744.57
104,8/29/2006,15.86,2.39,1.4,1762.7
105,8/30/2006,15.93,2.39,1.41,1770.8
106,8/31/2006,15.95,2.39,1.41,1772.45
107,9/1/2006,16.15,2.42,1.39,1795.04
108,9/4/2006,16.34,2.45,1.37,1816.56
109,9/5/2006,16.36,2.45,1.37,1818.2
110,9/6/2006,16.31,2.45,1.37,1812.43
111,9/7/2006,16.24,2.43,1.38,1804.57
112,9/8/2006,16.24,2.44,1.38,1805.18
113,9/11/2006,15.88,2.38,1.41,1764.72
114,9/12/2006,16.21,2.43,1.38,1802.02
115,9/13/2006,16.74,2.51,1.34,1860.91
116,9/14/2006,16.92,2.53,1.33,1880.15
117,9/15/2006,16.97,2.54,1.33,1886.04
118,9/18/2006,17.11,2.56,1.31,1901.95
119,9/19/2006,16.92,2.53,1.33,1880.65
120,9/20/2006,17.04,2.55,1.32,1893.9
121,9/21/2006,17.31,2.59,1.3,1923.5
122,9/22/2006,17.17,2.57,1.31,1908.15
123,9/25/2006,17.16,2.57,1.31,1906.69
124,9/26/2006,17.51,2.62,1.28,1946.2
125,9/27/2006,17.76,2.66,1.27,1974.2
126,9/28/2006,18.33,2.74,1.23,2036.4
127,9/29/2006,18.31,2.74,1.23,2034.81
128,10/3/2006,18.2,2.73,1.24,2022.04
129,10/4/2006,17.96,2.69,1.25,1995.3
130,10/5/2006,18.34,2.75,1.23,2038.4
131,10/6/2006,18.26,2.74,1.23,2029.34
132,10/9/2006,18.13,2.72,1.24,2014.94
133,10/10/2006,18.14,2.72,1.24,2015.72
134,10/11/2006,18.01,2.7,1.25,2001.72
135,10/12/2006,18.34,2.75,1.23,2037.7
136,10/13/2006,18.45,2.77,1.22,2054.37
137,10/16/2006,18.78,2.82,1.19,2093
138,10/17/2006,18.57,2.8,1.2,2079.08
139,10/18/2006,18.62,2.81,1.2,2085.34
140,10/19/2006,18.26,2.78,1.21,2062.1
141,10/20/2006,18.28,2.78,1.21,2064.33
142,10/21/2006,18.25,2.78,1.21,2061.19
143,10/23/2006,18.02,2.74,1.23,2034.89
144,10/26/2006,18.35,2.83,1.19,2098.21
145,10/27/2006,18.63,2.87,1.17,2131.8
146,10/30/2006,18.8,2.92,1.16,2162.78
147,10/31/2006,18.63,2.9,1.16,2148.01
148,11/1/2006,18.65,2.9,1.16,2150.45
149,11/2/2006,18.86,2.93,1.15,2175.02
150,11/3/2006,18.77,2.92,1.15,2164.41
151,11/6/2006,18.76,2.92,1.16,2163.01
152,11/7/2006,18.74,2.91,1.16,2161.27
153,11/8/2006,18.78,2.92,1.15,2166.05
154,11/9/2006,18.97,2.95,1.14,2187.46
155,11/10/2006,19.3,3,1.12,2225.18
156,11/13/2006,19.51,3.03,1.11,2249.48
157,11/14/2006,19.63,3.05,1.1,2263.16
158,11/15/2006,20.05,3.12,1.08,2312.1
159,11/16/2006,20.51,3.19,1.06,2365.11
160,11/17/2006,20.39,3.17,1.06,2350.78
161,11/20/2006,20.23,3.15,1.07,2332.51
162,11/21/2006,20.46,3.18,1.06,2358.56
163,11/22/2006,20.54,3.19,1.06,2367.72
164,11/23/2006,20.67,3.21,1.05,2382.71
165,11/24/2006,20.66,3.21,1.05,2382.32
166,11/27/2006,20.83,3.24,1.04,2401.18
167,11/28/2006,20.55,3.2,1.05,2369.5
168,11/29/2006,20.58,3.2,1.05,2372.95
169,11/30/2006,20.82,3.24,1.04,2400.18
170,12/1/2006,21.17,3.29,1.02,2440.74
171,12/4/2006,21.06,3.27,1.03,2427.94
172,12/5/2006,20.88,3.25,1.04,2407.4
173,12/6/2006,20.79,3.23,1.04,2396.02
174,12/7/2006,20.88,3.25,1.04,2408.03
175,12/8/2006,20.78,3.23,1.04,2395.81
176,12/11/2006,19.54,3.04,1.11,2252.54
177,12/12/2006,18.83,2.93,1.15,2168.82
178,12/13/2006,19.32,3.01,1.12,2225.15
179,12/14/2006,19.76,3.07,1.1,2275
180,12/15/2006,20.1,3.13,1.08,2314.48
181,12/18/2006,20.24,3.15,1.07,2330.36
182,12/19/2006,19.8,3.08,1.09,2279.29
183,12/20/2006,19.63,3.05,1.1,2259.61
184,12/21/2006,19.67,3.06,1.1,2264.27
185,12/22/2006,19.72,3.07,1.1,2270.48
186,12/26/2006,20.14,3.13,1.08,2318.37
187,12/27/2006,20.49,3.19,1.06,2358.97
188,12/28/2006,20.56,3.2,1.05,2367.22
189,12/29/2006,20.48,3.19,1.06,2358.22
190,1/2/2007,19.99,3.12,1.08,2366.95
191,1/3/2007,20.09,3.14,1.08,2378.72
192,1/4/2007,19.88,3.11,1.09,2353.84
