,Date,P/E,P/B,Div Yield,Nifty,Earnings,Book Value,Dividend,D/E,E/B,50- TPE,Earning growth,DIV GROWTH,,,,,,,,,,,,
1,1/1/1999,11.62,2.07,1.83,890.8,76.66,430.34,4.87,6.35%,17.81%,,,,,,,,,,,,,,,
2,1/4/1999,11.72,2.08,1.81,897.8,76.6,431.63,4.96,6.48%,17.75%,,,,,,,,,,,,,,,
3,1/5/1999,11.84,2.11,1.79,907.2,76.62,429.95,5.07,6.61%,17.82%,,,,,,,,,,,,,,,
4,1/6/1999,12.11,2.16,1.75,928.25,76.65,429.75,5.3,6.92%,17.84%,,,,,,,,,,,,,,,
5,1/7/1999,12.46,2.22,1.71,954.7,76.62,430.05,5.58,7.29%,17.82%,,,,,,,,,,,,,,,
6,1/8/1999,12.92,2.3,1.64,990.05,76.63,430.46,6.04,7.88%,17.80%,,,,,,,,,,,,,,,
7,1/11/1999,12.86,2.29,1.65,985.6,76.64,430.39,5.97,7.79%,17.81%,,,,,,,,,,,,,,,
8,1/12/1999,12.59,2.24,1.69,964.45,76.6,430.56,5.71,7.45%,17.79%,,,,,,,,,,,,,,,
9,1/13/1999,12.54,2.23,1.69,961.2,76.65,431.03,5.69,7.42%,17.78%,,,,,,,,,,,,,,,
10,1/14/1999,12.46,2.22,1.7,954.75,76.63,430.07,5.62,7.33%,17.82%,,,,,,,,,,,,,,,
11,1/15/1999,12.19,2.17,1.74,934.3,76.64,430.55,5.37,7.01%,17.80%,,,,,,,,,,,,,,,
12,1/18/1999,12.33,2.19,1.72,944.9,76.63,431.46,5.49,7.17%,17.76%,,,,,,,,,,,,,,,
13,1/19/1999,12.06,2.15,1.76,924.1,76.63,429.81,5.25,6.85%,17.83%,,,,,,,,,,,,,,,
14,1/21/1999,12.84,2.29,1.65,967.2,75.33,422.36,5.86,7.78%,17.83%,,,,,,,,,,,,,,,
15,1/22/1999,12.71,2.26,1.67,957.05,75.3,423.47,5.73,7.61%,17.78%,,,,,,,,,,,,,,,
16,1/25/1999,12.61,2.24,1.68,949.8,75.32,424.02,5.65,7.51%,17.76%,,,,,,,,,,,,,,,
17,1/27/1999,12.9,2.29,1.65,971.3,75.29,424.15,5.89,7.82%,17.75%,,,,,,,,,,,,,,,
18,1/28/1999,12.68,2.26,1.68,955.1,75.32,422.61,5.69,7.55%,17.82%,,,,,,,,,,,,,,,
19,1/29/1999,12.83,2.28,1.66,966.2,75.31,423.77,5.82,7.73%,17.77%,,,,,,,,,,,,,,,
20,2/1/1999,12.48,2.22,1.7,940.15,75.33,423.49,5.53,7.34%,17.79%,,,,,,,,,,,,,,,
21,2/2/1999,12.36,2.2,1.72,931.2,75.34,423.27,5.41,7.19%,17.80%,,,,,,,,,,,,,,,
22,2/3/1999,12.64,2.25,1.69,952.4,75.35,423.29,5.64,7.48%,17.80%,,,,,,,,,,,,,,,
23,2/4/1999,12.48,2.22,1.71,939.7,75.3,423.29,5.5,7.30%,17.79%,,,,,,,,,,,,,,,
24,2/5/1999,12.43,2.21,1.71,936.3,75.33,423.67,5.48,7.27%,17.78%,,,,,,,,,,,,,,,
25,2/8/1999,12.17,2.17,1.75,916.5,75.31,422.35,5.24,6.95%,17.83%,,,,,,,,,,,,,,,
26,2/9/1999,12.28,2.18,1.73,924.75,75.31,424.2,5.35,7.10%,17.75%,,,,,,,,,,,,,,,
27,2/10/1999,12.74,2.27,1.67,959.45,75.31,422.67,5.75,7.63%,17.82%,,,,,,,,,,,,,,,
28,2/11/1999,12.75,2.27,1.67,960.05,75.3,422.93,5.75,7.63%,17.80%,,,,,,,,,,,,,,,
29,2/12/1999,12.88,2.29,1.62,970.25,75.33,423.69,5.99,7.95%,17.78%,,,,,,,,,,,,,,,
30,2/15/1999,12.67,2.26,1.64,954.55,75.34,422.37,5.82,7.73%,17.84%,,,,,,,,,,,,,,,
31,2/16/1999,12.73,2.27,1.63,958.9,75.33,422.42,5.88,7.81%,17.83%,,,,,,,,,,,,,,,
32,2/17/1999,12.87,2.29,1.64,969.05,75.3,423.17,5.91,7.85%,17.79%,,,,,,,,,,,,,,,
33,2/18/1999,12.92,2.3,1.63,973.45,75.34,423.24,5.97,7.93%,17.80%,,,,,,,,,,,,,,,
34,2/19/1999,12.96,2.31,1.63,976.3,75.33,422.64,5.99,7.95%,17.82%,12.52,-0.05,0.02,,,,,,,,,,,,
35,2/22/1999,12.66,2.25,1.66,953.85,75.34,423.93,5.75,7.63%,17.77%,12.55,-0.05,0.01,,,,,,,,,,,,
36,2/23/1999,12.61,2.24,1.67,949.65,75.31,423.95,5.69,7.55%,17.76%,12.58,-0.05,0.01,,,,,,,,,,,,
37,2/24/1999,12.72,2.26,1.66,957.65,75.29,423.74,5.77,7.66%,17.77%,12.6,-0.05,0.01,,,,,,,,,,,,
38,2/25/1999,12.68,2.26,1.66,954.3,75.26,422.26,5.75,7.64%,17.82%,12.62,-0.05,0,,,,,,,,,,,,
39,2/26/1999,12.51,2.23,1.66,941.2,75.24,422.06,5.67,7.54%,17.83%,12.62,-0.04,0,,,,,,,,,,,,
40,2/27/1999,13.04,2.32,1.59,981.3,75.25,422.97,6.17,8.20%,17.79%,12.62,-0.04,0.01,,,,,,,,,,,,
41,3/1/1999,13.5,2.4,1.54,1015.8,75.24,423.25,6.6,8.77%,17.78%,12.64,-0.03,0.01,,,,,,,,,,,,
42,3/3/1999,13.98,2.49,1.49,1051.85,75.24,422.43,7.06,9.38%,17.81%,12.68,-0.03,0.02,,,,,,,,,,,,
43,3/4/1999,13.83,2.46,1.5,1041.2,75.29,423.25,6.94,9.22%,17.79%,12.72,-0.03,0.03,,,,,,,,,,,,
